empresa,rentabilidad,volatilidad,sharpe,sortino,betas
GS,0.7436174176948736,0.30592058204749445,2.4307531474931174,3.440081393347376,1.008958473455901
CAT,0.6710492200783598,0.30403709876859725,2.2071294022875003,2.9840167827730992,0.6929000937057963
AXP,0.6299463002606407,0.370113705119424,1.7020345141160793,2.9108193663318107,1.4272418833890184
AAPL,0.6198286750155193,0.33562175568470864,1.8468072004182043,2.721784851726548,1.7633387437883874
DOW,0.5713043925926686,0.3682957581059834,1.5512108950987864,2.390979619018044,1.0404113076191626
JPM,0.5104710499084115,0.311213412585864,1.6402604427197436,2.5804256980081908,0.9022886512224725
BA,0.5051334787026711,0.5420721978643123,0.9318564587758338,1.5474516754643295,0.9339209375632224
NKE,0.4970093167240235,0.30912216548589266,1.6078087313564235,2.5745951413165766,1.3147034853074802
MSFT,0.44000923597710173,0.259985577079493,1.692437099472502,2.395940864963829,1.025989825177644
DIS,0.42208012951317575,0.3259842217657139,1.2947869906922254,2.3985512801449764,1.3563602077125412
CRM,0.35864874122304813,0.395292161336504,0.9073004129665447,1.61192052769756,1.264516830259823
TRV,0.33709432212140267,0.26769558259562376,1.2592449933348786,2.180696870115122,1.0136426778496614
UNH,0.2751826937912534,0.23510775976475765,1.1704534723421873,2.158574107298671,0.9562895023484601
HD,0.2621803821822435,0.2067639552584023,1.2680178315150954,1.82687070524969,1.0892394807675703
MMM,0.2377932154810063,0.22015422722716813,1.080121051846246,1.437755974470037,0.6085183650436901
MCD,0.2098688716925643,0.17432558204467577,1.2038902680318002,1.6268858222210165,1.2586389514568024
V,0.18498461122369925,0.23712733591105983,0.7801066482401762,1.0585314940643626,0.7350526808947322
IBM,0.15178216270980682,0.2574927695823879,0.5894618437479747,0.7627585385491599,0.8572832078165112
PG,0.13429475444830108,0.15512079338393145,0.8657430865242874,1.1971984444276935,0.8361917504575228
KO,0.13423324610996867,0.19924078645365567,0.6737237314669602,0.9004653248066509,0.6156370500236097
CSCO,0.13109363215711745,0.24097818678281105,0.5440062186013109,0.6596701485099629,0.9771300970584642
CVX,0.1086534291278003,0.35116553310541376,0.3094080109940187,0.49582818228639436,0.9336599133821375
JNJ,0.10516248689819263,0.1620065931144132,0.6491247354601438,0.8874216412704085,0.6095234496985987
AMGN,0.06309511258411926,0.24777355716606095,0.25464828977626586,0.372977686128929,1.0431653994852843
MRK,0.015723359906208323,0.1934646309707141,0.08127252938852923,0.12018965192411374,1.0351662314565784
INTC,-0.08047976263983847,0.35813192790986403,-0.22472099348844965,-0.249166298709368,1.0512095334289662
